Uid	Term	Term_Score
550	canada	34.42183
551	all	100
551	shield	36.59625
551	plex	42.18784
552	all	100
552	display	9.251071
552	back	7.633883
553	all	100
553	apps	31.21547
554	all	100
554	play store	60.52608
554	games	31.7364
555	all	100
555	streaming	32.39369
555	apps	31.21547
556	all	100
556	streaming	32.39369
556	geforce	29.801
556	android	35.81115
556	games	31.7364
557	all	100
557	play store	60.52608
558	all	100
558	google	28.64112
558	boxes	32.40374
559	all	100
559	sideload	38.56382
559	apps	31.21547
560	all	100
561	all	100
561	sideload	38.56382
561	android	35.81115
562	all	100
562	gamestream	28.78266
562	geforce	29.801
562	android	27.88519
562	games	31.7364
563	all	100
563	streaming	32.39369
563	kodi	43.55359
563	apps	31.21547
564	all	100
564	sideload	38.56382
564	apps	31.21547
565	all	100
565	android tv	48.42155
565	sideload	38.56382
565	apps	31.21547
566	all	100
566	shield	36.59625
566	google	28.64112
567	all	100
567	kodi	43.55359
568	all	100
568	apps	31.21547
569	all	100
569	kodi	43.55359
570	all	100
570	apps	31.21547
571	all	100
571	play store	60.52608
571	android tv	48.42155
571	google	28.64112
572	all	100
572	apps	31.21547
573	all	100
573	canada	34.42183
574	all	100
574	kodi	43.55359
574	apps	31.21547
575	all	100
575	assistant	34.81524
575	keyboard	18.57645
575	google	28.64112
576	all	100
576	android boxes	45.36487
576	assistant	34.81524
576	shield	36.59625
576	nvidia	40.76477
576	google	28.64112
577	all	100
577	kodi	43.55359
578	all	100
578	kodi	43.55359
578	apps	31.21547
579	all	100
579	apps	31.21547
580	all	100
580	kodi	43.55359
581	all	100
581	apps	31.21547
582	all	100
583	all	100
583	streaming	32.39369
583	canada	34.42183
583	apps	31.21547
584	all	100
584	android boxes	45.36487
584	play store	60.52608
584	apps	31.21547
585	all	100
585	google play	53.70535
585	play store	60.52608
586	all	100
586	nvidia	40.76477
586	google	28.64112
586	kodi	43.55359
586	apps	31.21547
587	all	100
587	google play	53.70535
588	all	100
589	all	100
590	all	100
590	kodi	43.55359
591	all	100
591	apps	31.21547
592	all	100
592	keyboard	18.57645
592	nvidia	40.76477
592	app	9.825978
593	all	100
594	all	100
594	apps	31.21547
595	all	100
595	android	35.81115
595	nvidia	40.76477
596	all	100
596	android	35.81115
597	all	100
597	controller	28.56096
597	gaming	27.7613
597	apps	31.21547
598	all	100
599	all	100
599	apps	31.21547
600	all	100
